Year,Month,Day,Hour,Minute,Second,Depth (meter),Ur Current speed (cm/s)
2002,11,28,14,0,0,2060,-1.36129E-05
2002,11,28,15,0,0,2060,-0.00014264
2002,11,28,16,0,0,2060,-0.000748362
2002,11,28,17,0,0,2060,-0.002663295
2002,11,28,18,0,0,2060,-0.007333801
2002,11,28,19,0,0,2060,-0.016841108
2002,11,28,20,0,0,2060,-0.033821707
2002,11,28,21,0,0,2060,-0.061330723
2002,11,28,22,0,0,2060,-0.102680781
2002,11,28,23,0,0,2060,-0.161263777
2002,11,29,0,0,0,2060,-0.240347201
2002,11,29,1,0,0,2060,-0.342849145
2002,11,29,2,0,0,2060,-0.471119961
2002,11,29,3,0,0,2060,-0.62676523
2002,11,29,4,0,0,2060,-0.810531253
2002,11,29,5,0,0,2060,-1.022254071
2002,11,29,6,0,0,2060,-1.260853722
2002,11,29,7,0,0,2060,-1.524347872
2002,11,29,8,0,0,2060,-1.809876851
2002,11,29,9,0,0,2060,-2.11376429
2002,11,29,10,0,0,2060,-2.431647083
2002,11,29,11,0,0,2060,-2.758678248
2002,11,29,12,0,0,2060,-3.089771637
2002,11,29,13,0,0,2060,-3.419856701
2002,11,29,14,0,0,2060,-3.744129162
2002,11,29,15,0,0,2060,-4.058286967
2002,11,29,16,0,0,2060,-4.358729356
2002,11,29,17,0,0,2060,-4.642687779
2002,11,29,18,0,0,2060,-4.908262963
2002,11,29,19,0,0,2060,-5.154364696
2002,11,29,20,0,0,2060,-5.380575131
2002,11,29,21,0,0,2060,-5.586964254
2002,11,29,22,0,0,2060,-5.773887112
2002,11,29,23,0,0,2060,-5.941802364
2002,11,30,0,0,0,2060,-6.091153079
2002,11,30,1,0,0,2060,-6.222324783
2002,11,30,2,0,0,2060,-6.33565804
2002,11,30,3,0,0,2060,-6.431469188
2002,11,30,4,0,0,2060,-6.510036745
2002,11,30,5,0,0,2060,-6.571540372
2002,11,30,6,0,0,2060,-6.615969583
2002,11,30,7,0,0,2060,-6.643024957
2002,11,30,8,0,0,2060,-6.652024711
2002,11,30,9,0,0,2060,-6.641837821
2002,11,30,10,0,0,2060,-6.61088978
2002,11,30,11,0,0,2060,-6.55727553
2002,11,30,12,0,0,2060,-6.478955944
2002,11,30,13,0,0,2060,-6.373978518
2002,11,30,14,0,0,2060,-6.24068007
2002,11,30,15,0,0,2060,-6.077856062
2002,11,30,16,0,0,2060,-5.884894207
2002,11,30,17,0,0,2060,-5.661876075
2002,11,30,18,0,0,2060,-5.409635754
2002,11,30,19,0,0,2060,-5.129733605
2002,11,30,20,0,0,2060,-4.824305952
2002,11,30,21,0,0,2060,-4.495801149
2002,11,30,22,0,0,2060,-4.146661786
2002,11,30,23,0,0,2060,-3.779029449
2002,12,1,0,0,0,2060,-3.394535538
2002,12,1,1,0,0,2060,-2.9942177
2002,12,1,2,0,0,2060,-2.578578747
2002,12,1,3,0,0,2060,-2.147776831
2002,12,1,4,0,0,2060,-1.70190251
2002,12,1,5,0,0,2060,-1.241277321
2002,12,1,6,0,0,2060,-0.766708115
2002,12,1,7,0,0,2060,-0.279648675
2002,12,1,8,0,0,2060,0.217751567
2002,12,1,9,0,0,2060,0.72270318
2002,12,1,10,0,0,2060,1.231909097
2002,12,1,11,0,0,2060,1.741738911
2002,12,1,12,0,0,2060,2.248410712
2002,12,1,13,0,0,2060,2.748151915
2002,12,1,14,0,0,2060,3.237323701
2002,12,1,15,0,0,2060,3.712504812
2002,12,1,16,0,0,2060,4.170531136
2002,12,1,17,0,0,2060,4.60849985
2002,12,1,18,0,0,2060,5.023774389
2002,12,1,19,0,0,2060,5.414025865
2002,12,1,20,0,0,2060,5.777316733
2002,12,1,21,0,0,2060,6.112216017
2002,12,1,22,0,0,2060,6.417928779
2002,12,1,23,0,0,2060,6.694404594
2002,12,2,0,0,0,2060,6.942380171
2002,12,2,1,0,0,2060,7.16333047
2002,12,2,2,0,0,2060,7.359334985
2002,12,2,3,0,0,2060,7.532882793
2002,12,2,4,0,0,2060,7.686639679
2002,12,2,5,0,0,2060,7.823206035
2002,12,2,6,0,0,2060,7.944910351
2002,12,2,7,0,0,2060,8.053684799
2002,12,2,8,0,0,2060,8.151041184
2002,12,2,9,0,0,2060,8.238128868
2002,12,2,10,0,0,2060,8.315841563
2002,12,2,11,0,0,2060,8.384949544
2002,12,2,12,0,0,2060,8.446246046
2002,12,2,13,0,0,2060,8.500688231
2002,12,2,14,0,0,2060,8.549493908
2002,12,2,15,0,0,2060,8.594166224
2002,12,2,16,0,0,2060,8.636455959
2002,12,2,17,0,0,2060,8.678279689
2002,12,2,18,0,0,2060,8.721589188
2002,12,2,19,0,0,2060,8.768196385
2002,12,2,20,0,0,2060,8.819604742
2002,12,2,21,0,0,2060,8.876909247
2002,12,2,22,0,0,2060,8.940783492
