Year,Month,Day,Hour,Minute,Second,Depth (meter),Ur Current speed (cm/s)
2002,11,29,11,0,0,1750,-6.15664E-06
2002,11,29,12,0,0,1750,-6.82122E-05
2002,11,29,13,0,0,1750,-0.000377787
2002,11,29,14,0,0,1750,-0.001413853
2002,11,29,15,0,0,1750,-0.00407157
2002,11,29,16,0,0,1750,-0.009715371
2002,11,29,17,0,0,1750,-0.020138542
2002,11,29,18,0,0,1750,-0.037434075
2002,11,29,19,0,0,1750,-0.063778821
2002,11,29,20,0,0,1750,-0.101151258
2002,11,29,21,0,0,1750,-0.1510501
2002,11,29,22,0,0,1750,-0.214289143
2002,11,29,23,0,0,1750,-0.290895447
2002,11,30,0,0,0,1750,-0.380096478
2002,11,30,1,0,0,1750,-0.480373584
2002,11,30,2,0,0,1750,-0.589562409
2002,11,30,3,0,0,1750,-0.704983842
2002,11,30,4,0,0,1750,-0.823591849
2002,11,30,5,0,0,1750,-0.942127021
2002,11,30,6,0,0,1750,-1.057266943
2002,11,30,7,0,0,1750,-1.165766502
2002,11,30,8,0,0,1750,-1.264583055
2002,11,30,9,0,0,1750,-1.350982975
2002,11,30,10,0,0,1750,-1.422627413
2002,11,30,11,0,0,1750,-1.477636351
2002,11,30,12,0,0,1750,-1.514630934
2002,11,30,13,0,0,1750,-1.532754907
2002,11,30,14,0,0,1750,-1.531681646
2002,11,30,15,0,0,1750,-1.511626081
2002,11,30,16,0,0,1750,-1.473371348
2002,11,30,17,0,0,1750,-1.418273541
2002,11,30,18,0,0,1750,-1.348194571
2002,11,30,19,0,0,1750,-1.265370037
2002,11,30,20,0,0,1750,-1.17226276
2002,11,30,21,0,0,1750,-1.071434929
2002,11,30,22,0,0,1750,-0.965443741
2002,11,30,23,0,0,1750,-0.856757702
2002,12,1,0,0,0,1750,-0.747691133
2002,12,1,1,0,0,1750,-0.640354653
2002,12,1,2,0,0,1750,-0.536623536
2002,12,1,3,0,0,1750,-0.438140386
2002,12,1,4,0,0,1750,-0.346378229
2002,12,1,5,0,0,1750,-0.262760552
2002,12,1,6,0,0,1750,-0.188781512
2002,12,1,7,0,0,1750,-0.126058177
2002,12,1,8,0,0,1750,-0.076291445
2002,12,1,9,0,0,1750,-0.041161513
2002,12,1,10,0,0,1750,-0.022199733
2002,12,1,11,0,0,1750,-0.020668453
2002,12,1,12,0,0,1750,-0.037466201
2002,12,1,13,0,0,1750,-0.073065452
2002,12,1,14,0,0,1750,-0.127483434
2002,12,1,15,0,0,1750,-0.200285222
2002,12,1,16,0,0,1750,-0.29061606
2002,12,1,17,0,0,1750,-0.397245301
2002,12,1,18,0,0,1750,-0.518586079
2002,12,1,19,0,0,1750,-0.652667691
2002,12,1,20,0,0,1750,-0.797088471
2002,12,1,21,0,0,1750,-0.949003244
2002,12,1,22,0,0,1750,-1.105169356
2002,12,1,23,0,0,1750,-1.262040405
2002,12,2,0,0,0,1750,-1.41588927
2002,12,2,1,0,0,1750,-1.562945386
2002,12,2,2,0,0,1750,-1.699543313
2002,12,2,3,0,0,1750,-1.822304892
2002,12,2,4,0,0,1750,-1.928372584
2002,12,2,5,0,0,1750,-2.015654409
2002,12,2,6,0,0,1750,-2.083009364
2002,12,2,7,0,0,1750,-2.130336675
2002,12,2,8,0,0,1750,-2.158569173
2002,12,2,9,0,0,1750,-2.169581665
2002,12,2,10,0,0,1750,-2.166030315
2002,12,2,11,0,0,1750,-2.151136237
2002,12,2,12,0,0,1750,-2.128411706
2002,12,2,13,0,0,1750,-2.101344935
2002,12,2,14,0,0,1750,-2.073131899
2002,12,2,15,0,0,1750,-2.046564175
2002,12,2,16,0,0,1750,-2.024078945
2002,12,2,17,0,0,1750,-2.007876676
2002,12,2,18,0,0,1750,-2.000015654
2002,12,2,19,0,0,1750,-2.002440671
2002,12,2,20,0,0,1750,-2.016933324
2002,12,2,21,0,0,1750,-2.044985718
2002,12,2,22,0,0,1750,-2.087610714
2002,12,2,23,0,0,1750,-2.145126781
2002,12,3,0,0,0,1750,-2.216985164
2002,12,3,1,0,0,1750,-2.301696514
2002,12,3,2,0,0,1750,-2.396865696
2002,12,3,3,0,0,1750,-2.499319328
2002,12,3,4,0,0,1750,-2.605331987
2002,12,3,5,0,0,1750,-2.710958725
2002,12,3,6,0,0,1750,-2.812421269
2002,12,3,7,0,0,1750,-2.906449515
2002,12,3,8,0,0,1750,-2.990510727
2002,12,3,9,0,0,1750,-3.062911699
2002,12,3,10,0,0,1750,-3.122778545
2002,12,3,11,0,0,1750,-3.16991632
2002,12,3,12,0,0,1750,-3.204571731
2002,12,3,13,0,0,1750,-3.227171113
2002,12,3,14,0,0,1750,-3.238114742
2002,12,3,15,0,0,1750,-3.237658097
2002,12,3,16,0,0,1750,-3.225866792
2002,12,3,17,0,0,1750,-3.202623463
2002,12,3,18,0,0,1750,-3.167668905
2002,12,3,19,0,0,1750,-3.12066322
2002,12,3,20,0,0,1750,-3.061255832
2002,12,3,21,0,0,1750,-2.98915586
2002,12,3,22,0,0,1750,-2.904196631
2002,12,3,23,0,0,1750,-2.806390056
2002,12,4,0,0,0,1750,-2.6959682
2002,12,4,1,0,0,1750,-2.573410715
2002,12,4,2,0,0,1750,-2.439457867
2002,12,4,3,0,0,1750,-2.295109733
2002,12,4,4,0,0,1750,-2.14161277
2002,12,4,5,0,0,1750,-1.980444424
2002,12,4,6,0,0,1750,-1.813331396
2002,12,4,7,0,0,1750,-1.642333091
2002,12,4,8,0,0,1750,-1.469951164
2002,12,4,9,0,0,1750,-1.299169184
2002,12,4,10,0,0,1750,-1.133360497
2002,12,4,11,0,0,1750,-0.976067884
2002,12,4,12,0,0,1750,-0.830694648
2002,12,4,13,0,0,1750,-0.700174184
2002,12,4,14,0,0,1750,-0.586702208
2002,12,4,15,0,0,1750,-0.491590124
2002,12,4,16,0,0,1750,-0.415246267
2002,12,4,17,0,0,1750,-0.357258492
2002,12,4,18,0,0,1750,-0.316543984
2002,12,4,19,0,0,1750,-0.291532864
2002,12,4,20,0,0,1750,-0.280352137
2002,12,4,21,0,0,1750,-0.28097659
2002,12,4,22,0,0,1750,-0.291326708
2002,12,4,23,0,0,1750,-0.309323373
2002,12,5,0,0,0,1750,-0.332925567
2002,12,5,1,0,0,1750,-0.360166486
2002,12,5,2,0,0,1750,-0.389189159
2002,12,5,3,0,0,1750,-0.418278353
2002,12,5,4,0,0,1750,-0.445887893
2002,12,5,5,0,0,1750,-0.470669685
2002,12,5,6,0,0,1750,-0.491515225
2002,12,5,7,0,0,1750,-0.507616317
2002,12,5,8,0,0,1750,-0.518535685
2002,12,5,9,0,0,1750,-0.524249197
2002,12,5,10,0,0,1750,-0.525113139
2002,12,5,11,0,0,1750,-0.521742628
2002,12,5,12,0,0,1750,-0.514822954
2002,12,5,13,0,0,1750,-0.504898762
2002,12,5,14,0,0,1750,-0.492200337
2002,12,5,15,0,0,1750,-0.476555691
2002,12,5,16,0,0,1750,-0.457414939
2002,12,5,17,0,0,1750,-0.43398452
2002,12,5,18,0,0,1750,-0.405419643
2002,12,5,19,0,0,1750,-0.371005503
2002,12,5,20,0,0,1750,-0.330301765
2002,12,5,21,0,0,1750,-0.283253286
2002,12,5,22,0,0,1750,-0.230246372
2002,12,5,23,0,0,1750,-0.172083116
2002,12,6,0,0,0,1750,-0.109879754
2002,12,6,1,0,0,1750,-0.044923388
2002,12,6,2,0,0,1750,0.021466453
2002,12,6,3,0,0,1750,0.088029091
2002,12,6,4,0,0,1750,0.153595222
2002,12,6,5,0,0,1750,0.217079795
2002,12,6,6,0,0,1750,0.277446996
2002,12,6,7,0,0,1750,0.333634835
2002,12,6,8,0,0,1750,0.38444556
2002,12,6,9,0,0,1750,0.428460573
2002,12,6,10,0,0,1750,0.464048711
2002,12,6,11,0,0,1750,0.489486738
2002,12,6,12,0,0,1750,0.503152335
2002,12,6,13,0,0,1750,0.503722443
2002,12,6,14,0,0,1750,0.490323748
2002,12,6,15,0,0,1750,0.462618459
2002,12,6,16,0,0,1750,0.420833189
2002,12,6,17,0,0,1750,0.365740646
2002,12,6,18,0,0,1750,0.298590857
