Year,Month,Day,Hour,Minute,Second,Depth (meter),Ur Current speed (cm/s)
2002,11,30,11,0,0,2090,3.05469E-06
2002,11,30,12,0,0,2090,2.89927E-05
2002,11,30,13,0,0,2090,0.000136041
2002,11,30,14,0,0,2090,0.000429259
2002,11,30,15,0,0,2090,0.001044143
2002,11,30,16,0,0,2090,0.00211925
2002,11,30,17,0,0,2090,0.003777201
2002,11,30,18,0,0,2090,0.006127939
2002,11,30,19,0,0,2090,0.009295243
2002,11,30,20,0,0,2090,0.013442524
2002,11,30,21,0,0,2090,0.018768962
2002,11,30,22,0,0,2090,0
2002,11,30,23,0,0,2090,0
2002,12,1,0,0,0,2090,0
2002,12,1,1,0,0,2090,0.054483458
2002,12,1,2,0,0,2090,0.066669905
2002,12,1,3,0,0,2090,0.079620722
2002,12,1,4,0,0,2090,0.092973171
2002,12,1,5,0,0,2090,0.106340428
2002,12,1,6,0,0,2090,0.119321947
2002,12,1,7,0,0,2090,0.131550258
2002,12,1,8,0,0,2090,0.142745027
2002,12,1,9,0,0,2090,0.152734646
2002,12,1,10,0,0,2090,0.161442044
2002,12,1,11,0,0,2090,0.168854818
2002,12,1,12,0,0,2090,0.174996931
2002,12,1,13,0,0,2090,0.179905361
2002,12,1,14,0,0,2090,0.183604122
2002,12,1,15,0,0,2090,0.186083933
2002,12,1,16,0,0,2090,0.187327645
2002,12,1,17,0,0,2090,0.187392622
2002,12,1,18,0,0,2090,0.186482544
2002,12,1,19,0,0,2090,0.184939356
2002,12,1,20,0,0,2090,0.183165613
2002,12,1,21,0,0,2090,0.181531944
2002,12,1,22,0,0,2090,0.180308603
2002,12,1,23,0,0,2090,0.179634222
2002,12,2,0,0,0,2090,0.179518553
2002,12,2,1,0,0,2090,0.179863616
2002,12,2,2,0,0,2090,0.180483032
2002,12,2,3,0,0,2090,0.181113785
2002,12,2,4,0,0,2090,0.181434181
2002,12,2,5,0,0,2090,0.181096461
2002,12,2,6,0,0,2090,0.179763835
2002,12,2,7,0,0,2090,0.177142875
2002,12,2,8,0,0,2090,0.173017005
2002,12,2,9,0,0,2090,0.16728495
2002,12,2,10,0,0,2090,0.159987981
2002,12,2,11,0,0,2090,0.151304215
2002,12,2,12,0,0,2090,0.141507625
