Year,Month,Day,Hour,Minute,Second,Depth (meter),Ur Current speed (cm/s)
2002,11,30,13,0,0,2250,2.12229E-06
2002,11,30,14,0,0,2250,1.79988E-05
2002,11,30,15,0,0,2250,7.01377E-05
2002,11,30,16,0,0,2250,0.000163441
2002,11,30,17,0,0,2250,0.000234561
2002,11,30,18,0,0,2250,0.000125654
2002,11,30,19,0,0,2250,-0.000393403
2002,11,30,20,0,0,2250,-0.001577335
2002,11,30,21,0,0,2250,-0.003661478
2002,11,30,22,0,0,2250,-0.006831252
2002,11,30,23,0,0,2250,-0.011204028
2002,12,1,0,0,0,2250,-0.016820859
2002,12,1,1,0,0,2250,-0.023645851
2002,12,1,2,0,0,2250,-0.031571265
2002,12,1,3,0,0,2250,-0.040424996
2002,12,1,4,0,0,2250,-0.049972703
2002,12,1,5,0,0,2250,-0.059909408
2002,12,1,6,0,0,2250,-0.069852387
2002,12,1,7,0,0,2250,-0.079355863
2002,12,1,8,0,0,2250,-0.087950467
2002,12,1,9,0,0,2250,-0.095190151
2002,12,1,10,0,0,2250,-0.100684947
2002,12,1,11,0,0,2250,-0.10411104
2002,12,1,12,0,0,2250,-0.105212489
2002,12,1,13,0,0,2250,-0.103810813
2002,12,1,14,0,0,2250,-0.099818563
2002,12,1,15,0,0,2250,-0.0932467
2002,12,1,16,0,0,2250,-0.084203862
2002,12,1,17,0,0,2250,-0.072889428
2002,12,1,18,0,0,2250,-0.059582105
2002,12,1,19,0,0,2250,-0.04462548
2002,12,1,20,0,0,2250,-0.028411817
2002,12,1,21,0,0,2250,-0.011365128
2002,12,1,22,0,0,2250,0.006075593
2002,12,1,23,0,0,2250,0.023472295
2002,12,2,0,0,0,2250,0.040402418
2002,12,2,1,0,0,2250,0.056471662
2002,12,2,2,0,0,2250,0.071324719
2002,12,2,3,0,0,2250,0.084653821
2002,12,2,4,0,0,2250,0.096205036
2002,12,2,5,0,0,2250,0.105782357
2002,12,2,6,0,0,2250,0.113249662
2002,12,2,7,0,0,2250,0.118530721
2002,12,2,8,0,0,2250,0.121607419
2002,12,2,9,0,0,2250,0.12251645
2002,12,2,10,0,0,2250,0.121344705
2002,12,2,11,0,0,2250,0.118223624
2002,12,2,12,0,0,2250,0.113322768
2002,12,2,13,0,0,2250,0.106842873
2002,12,2,14,0,0,2250,0.099008611
2002,12,2,15,0,0,2250,0.090060505
2002,12,2,16,0,0,2250,0.080244232
2002,12,2,17,0,0,2250,0.069798193
2002,12,2,18,0,0,2250,0.058944984
2002,12,2,19,0,0,2250,0.047889903
2002,12,2,20,0,0,2250,0.036823004
2002,12,2,21,0,0,2250,0.025920658
