Year,Month,Day,Hour,Minute,Second,Depth (meter),Ur Current speed (cm/s)
2002,11,30,11,0,0,1760,1.55302E-06
2002,11,30,12,0,0,1760,1.474E-05
2002,11,30,13,0,0,1760,6.91641E-05
2002,11,30,14,0,0,1760,0.000218238
2002,11,30,15,0,0,1760,0.000530848
2002,11,30,16,0,0,1760,0.001077437
2002,11,30,17,0,0,1760,0.001918553
2002,11,30,18,0,0,1760,0.003097533
2002,11,30,19,0,0,1760,0.004636528
2002,11,30,20,0,0,1760,0.006535141
2002,11,30,21,0,0,1760,0.00877107
2002,11,30,22,0,0,1760,0.01130221
2002,11,30,23,0,0,1760,0.014069769
2002,12,1,0,0,0,1760,0.01700199
2002,12,1,1,0,0,1760,0.020018194
2002,12,1,2,0,0,1760,0.023032841
2002,12,1,3,0,0,1760,0.025959449
2002,12,1,4,0,0,1760,0.028714177
2002,12,1,5,0,0,1760,0.031218984
2002,12,1,6,0,0,1760,0.033404273
2002,12,1,7,0,0,1760,0.035210993
2002,12,1,8,0,0,1760,0.036592166
2002,12,1,9,0,0,1760,0.037513859
2002,12,1,10,0,0,1760,0.037955628
2002,12,1,11,0,0,1760,0.037910468
2002,12,1,12,0,0,1760,0.037384332
2002,12,1,13,0,0,1760,0.036395266
2002,12,1,14,0,0,1760,0.034972245
2002,12,1,15,0,0,1760,0.033153753
2002,12,1,16,0,0,1760,0.030986199
2002,12,1,17,0,0,1760,0.028522206
2002,12,1,18,0,0,1760,0.02581887
2002,12,1,19,0,0,1760,0.022936005
2002,12,1,20,0,0,1760,0.019934454
2002,12,1,21,0,0,1760,0.016873685
2002,12,1,22,0,0,1760,0.013806697
2002,12,1,23,0,0,1760,0.010772984
2002,12,2,0,0,0,1760,0.007795186
2002,12,2,1,0,0,1760,0.004882528
2002,12,2,2,0,0,1760,0.002037371
2002,12,2,3,0,0,1760,-0.000739316
2002,12,2,4,0,0,1760,-0.003444439
2002,12,2,5,0,0,1760,-0.006070808
2002,12,2,6,0,0,1760,-0.00860636
2002,12,2,7,0,0,1760,-0.011034256
2002,12,2,8,0,0,1760,-0.013333602
2002,12,2,9,0,0,1760,-0.015480575
2002,12,2,10,0,0,1760,-0.017449774
2002,12,2,11,0,0,1760,-0.019215652
2002,12,2,12,0,0,1760,-0.020753911
2002,12,2,13,0,0,1760,-0.022042795
2002,12,2,14,0,0,1760,-0.023064192
2002,12,2,15,0,0,1760,-0.02380453
2002,12,2,16,0,0,1760,-0.024255428
2002,12,2,17,0,0,1760,-0.024414107
2002,12,2,18,0,0,1760,-0.024283559
2002,12,2,19,0,0,1760,-0.023872486
2002,12,2,20,0,0,1760,-0.023195042
2002,12,2,21,0,0,1760,-0.022265691
2002,12,2,22,0,0,1760,-0.02107279
2002,12,2,23,0,0,1760,-0.019521736
2002,12,3,0,0,0,1760,-0.017380167
2002,12,3,1,0,0,1760,-0.014277216
2002,12,3,2,0,0,1760,-0.009765345
2002,12,3,3,0,0,1760,-0.003405587
2002,12,3,4,0,0,1760,0.005161003
2002,12,3,5,0,0,1760,0.016167219
2002,12,3,6,0,0,1760,0.029696119
2002,12,3,7,0,0,1760,0.045675036
2002,12,3,8,0,0,1760,0.063882884
2002,12,3,9,0,0,1760,0.083967063
2002,12,3,10,0,0,1760,0.105466802
2002,12,3,11,0,0,1760,0.127840294
2002,12,3,12,0,0,1760,0.150493457
2002,12,3,13,0,0,1760,0.172808559
2002,12,3,14,0,0,1760,0.194171334
2002,12,3,15,0,0,1760,0.213995556
2002,12,3,16,0,0,1760,0.231744341
2002,12,3,17,0,0,1760,0.2469477
2002,12,3,18,0,0,1760,0.259216101
2002,12,3,19,0,0,1760,0.268249987
2002,12,3,20,0,0,1760,0.273845344
2002,12,3,21,0,0,1760,0.275895551
2002,12,3,22,0,0,1760,0.274389848
2002,12,3,23,0,0,1760,0.269408801
2002,12,4,0,0,0,1760,0.261117236
2002,12,4,1,0,0,1760,0.249755098
2002,12,4,2,0,0,1760,0.235626731
2002,12,4,3,0,0,1760,0.219089056
2002,12,4,4,0,0,1760,0.200539103
2002,12,4,5,0,0,1760,0.180401329
2002,12,4,6,0,0,1760,0.159115107
2002,12,4,7,0,0,1760,0.137122735
2002,12,4,8,0,0,1760,0.114858249
2002,12,4,9,0,0,1760,0.092737296
2002,12,4,10,0,0,1760,0.071148231
2002,12,4,11,0,0,1760,0.050444598
2002,12,4,12,0,0,1760,0.030939066
2002,12,4,13,0,0,1760,0.012898852
2002,12,4,14,0,0,1760,-0.003457365
2002,12,4,15,0,0,1760,-0.017961085
2002,12,4,16,0,0,1760,-0.030494276
2002,12,4,17,0,0,1760,-0.040988397
2002,12,4,18,0,0,1760,-0.049422311
2002,12,4,19,0,0,1760,-0.055819205
2002,12,4,20,0,0,1760,-0.060242708
2002,12,4,21,0,0,1760,-0.062792342
2002,12,4,22,0,0,1760,-0.063598502
2002,12,4,23,0,0,1760,-0.062817097
2002,12,5,0,0,0,1760,-0.060624045
2002,12,5,1,0,0,1760,-0.057209735
2002,12,5,2,0,0,1760,-0.05277362
2002,12,5,3,0,0,1760,-0.047519035
2002,12,5,4,0,0,1760,-0.041648373
2002,12,5,5,0,0,1760,-0.035358669
2002,12,5,6,0,0,1760,-0.028837695
2002,12,5,7,0,0,1760,-0.022260595
2002,12,5,8,0,0,1760,-0.015787094
2002,12,5,9,0,0,1760,-0.009559302
2002,12,5,10,0,0,1760,-0.003700121
2002,12,5,11,0,0,1760,0.001687787
2002,12,5,12,0,0,1760,0.006522461
2002,12,5,13,0,0,1760,0.010742601
2002,12,5,14,0,0,1760,0.014307049
2002,12,5,15,0,0,1760,0.017193864
2002,12,5,16,0,0,1760,0.019399032
2002,12,5,17,0,0,1760,0.020934884
2002,12,5,18,0,0,1760,0.021828286
2002,12,5,19,0,0,1760,0.02211865
2002,12,5,20,0,0,1760,0.021855848
2002,12,5,21,0,0,1760,0.021098069
2002,12,5,22,0,0,1760,0.019909681
2002,12,5,23,0,0,1760,0.018359152
2002,12,6,0,0,0,1760,0.016517061
2002,12,6,1,0,0,1760,0.014454251
2002,12,6,2,0,0,1760,0.01224014
2002,12,6,3,0,0,1760,0.009941227
2002,12,6,4,0,0,1760,0.007619804
2002,12,6,5,0,0,1760,0.00533288
2002,12,6,6,0,0,1760,0.00313134
2002,12,6,7,0,0,1760,0.001059315
2002,12,6,8,0,0,1760,-0.00084623
2002,12,6,9,0,0,1760,-0.002555692
2002,12,6,10,0,0,1760,-0.004046849
2002,12,6,11,0,0,1760,-0.005304693
2002,12,6,12,0,0,1760,-0.006321115
2002,12,6,13,0,0,1760,-0.007094457
2002,12,6,14,0,0,1760,-0.007628946
2002,12,6,15,0,0,1760,-0.007934056
2002,12,6,16,0,0,1760,-0.008023793
2002,12,6,17,0,0,1760,-0.007915948
2002,12,6,18,0,0,1760,-0.007631324
2002,12,6,19,0,0,1760,-0.007192969
2002,12,6,20,0,0,1760,-0.006625423
2002,12,6,21,0,0,1760,-0.005954003
2002,12,6,22,0,0,1760,-0.005204136
2002,12,6,23,0,0,1760,-0.004400744
2002,12,7,0,0,0,1760,-0.003567711
2002,12,7,1,0,0,1760,-0.00272741
