Year,Month,Day,Hour,Minute,Second,Depth (meter),Ur Current speed (cm/s)
2002,11,29,17,0,0,1690,2.72707E-06
2002,11,29,18,0,0,1690,2.68549E-05
2002,11,29,19,0,0,1690,0.000132862
2002,11,29,20,0,0,1690,0.00045422
2002,11,29,21,0,0,1690,0.001238196
2002,11,29,22,0,0,1690,0.002905451
2002,11,29,23,0,0,1690,0.006103704
2002,11,30,0,0,0,1690,0.011699662
2002,11,30,1,0,0,1690,0.020671106
2002,11,30,2,0,0,1690,0.033920581
2002,11,30,3,0,0,1690,0.052082766
2002,11,30,4,0,0,1690,0.07539216
2002,11,30,5,0,0,1690,0.103637985
2002,11,30,6,0,0,1690,0.136199918
2002,11,30,7,0,0,1690,0.172135123
2002,11,30,8,0,0,1690,0.210280411
2002,11,30,9,0,0,1690,0.249349836
2002,11,30,10,0,0,1690,0.288025019
2002,11,30,11,0,0,1690,0.325038388
2002,11,30,12,0,0,1690,0.359250393
2002,11,30,13,0,0,1690,0.389712328
2002,11,30,14,0,0,1690,0.415690208
2002,11,30,15,0,0,1690,0.436641557
2002,11,30,16,0,0,1690,0.452169693
2002,11,30,17,0,0,1690,0.46198151
2002,11,30,18,0,0,1690,0.465859414
2002,11,30,19,0,0,1690,0.463649893
2002,11,30,20,0,0,1690,0.455267103
2002,11,30,21,0,0,1690,0.440711042
2002,11,30,22,0,0,1690,0.420098009
2002,11,30,23,0,0,1690,0.393683323
2002,12,1,0,0,0,1690,0.361849609
2002,12,1,1,0,0,1690,0.325065548
2002,12,1,2,0,0,1690,0.283846328
2002,12,1,3,0,0,1690,0.238733126
2002,12,1,4,0,0,1690,0.190289041
2002,12,1,5,0,0,1690,0.139103542
2002,12,1,6,0,0,1690,0.085796277
2002,12,1,7,0,0,1690,0.031022349
2002,12,1,8,0,0,1690,-0.024493267
2002,12,1,9,0,0,1690,-0.079863563
2002,12,1,10,0,0,1690,-0.133900665
2002,12,1,11,0,0,1690,-0.184977715
2002,12,1,12,0,0,1690,-0.230951317
2002,12,1,13,0,0,1690,-0.269202862
2002,12,1,14,0,0,1690,-0.296828008
2002,12,1,15,0,0,1690,-0.310946228
2002,12,1,16,0,0,1690,-0.309049847
2002,12,1,17,0,0,1690,-0.289304744
2002,12,1,18,0,0,1690,-0.250754174
2002,12,1,19,0,0,1690,-0.193411795
2002,12,1,20,0,0,1690,-0.118237168
2002,12,1,21,0,0,1690,-0.026985417
2002,12,1,22,0,0,1690,0.07806596
2002,12,1,23,0,0,1690,0.194465491
2002,12,2,0,0,0,1690,0.319920318
2002,12,2,1,0,0,1690,0.452537221
2002,12,2,2,0,0,1690,0.590943276
2002,12,2,3,0,0,1690,0.734284605
2002,12,2,4,0,0,1690,0.882115757
2002,12,2,5,0,0,1690,1.034209925
2002,12,2,6,0,0,1690,1.190333652
2002,12,2,7,0,0,1690,1.350029346
2002,12,2,8,0,0,1690,1.512438937
2002,12,2,9,0,0,1690,1.676197189
2002,12,2,10,0,0,1690,1.839424358
2002,12,2,11,0,0,1690,1.99983204
2002,12,2,12,0,0,1690,2.154916503
2002,12,2,13,0,0,1690,2.302181831
2002,12,2,14,0,0,1690,2.439338546
2002,12,2,15,0,0,1690,2.564450567
2002,12,2,16,0,0,1690,2.676024775
2002,12,2,17,0,0,1690,2.7730421
2002,12,2,18,0,0,1690,2.854935264
2002,12,2,19,0,0,1690,2.921539706
2002,12,2,20,0,0,1690,2.973058188
2002,12,2,21,0,0,1690,3.010064359
2002,12,2,22,0,0,1690,3.03354176
2002,12,2,23,0,0,1690,3.044931627
2002,12,3,0,0,0,1690,3.046149796
2002,12,3,1,0,0,1690,3.039539905
2002,12,3,2,0,0,1690,3.027751736
2002,12,3,3,0,0,1690,3.013546807
2002,12,3,4,0,0,1690,2.999541318
2002,12,3,5,0,0,1690,2.987922308
2002,12,3,6,0,0,1690,2.980202201
2002,12,3,7,0,0,1690,2.977069919
2002,12,3,8,0,0,1690,2.978359893
2002,12,3,9,0,0,1690,2.983139171
2002,12,3,10,0,0,1690,2.989916857
2002,12,3,11,0,0,1690,2.996965267
2002,12,3,12,0,0,1690,3.002691481
2002,12,3,13,0,0,1690,3.00596828
2002,12,3,14,0,0,1690,3.006359268
2002,12,3,15,0,0,1690,3.004214694
2002,12,3,16,0,0,1690,3.000639398
2002,12,3,17,0,0,1690,2.997344089
2002,12,3,18,0,0,1690,2.996392847
2002,12,3,19,0,0,1690,2.999869085
2002,12,3,20,0,0,1690,3.009513816
2002,12,3,21,0,0,1690,3.026427504
2002,12,3,22,0,0,1690,3.05093624
2002,12,3,23,0,0,1690,3.082676622
2002,12,4,0,0,0,1690,3.120856242
2002,12,4,1,0,0,1690,3.164574948
2002,12,4,2,0,0,1690,3.213108096
2002,12,4,3,0,0,1690,3.266103759
2002,12,4,4,0,0,1690,3.323669374
2002,12,4,5,0,0,1690,3.386332064
2002,12,4,6,0,0,1690,3.454871447
2002,12,4,7,0,0,1690,3.530052005
2002,12,4,8,0,0,1690,3.612322253
2002,12,4,9,0,0,1690,3.701566384
2002,12,4,10,0,0,1690,3.796972698
2002,12,4,11,0,0,1690,3.897046811
2002,12,4,12,0,0,1690,3.999759324
2002,12,4,13,0,0,1690,4.102778294
2002,12,4,14,0,0,1690,4.203719905
2002,12,4,15,0,0,1690,4.30036763
2002,12,4,16,0,0,1690,4.390834973
